fullname,part_of
Nesomys lambertoni,Mammalia
Nesomys audeberti,Mammalia
Eliurus petteri,Mammalia
Monticolomys koopmani,Mammalia
Eliurus grandidieri,Mammalia
Eliurus ellermani,Mammalia
Eliurus antsingy,Mammalia
Brachytarsomys villosa,Mammalia
Steatomys opimus,Mammalia
Steatomys bocagei,Mammalia
Dendromus nyasae,Mammalia
Dendromus leucostomus,Mammalia
Cricetomys kivuensis,Mammalia
Calomyscus grandis,Mammalia
Cricetomys ansorgei,Mammalia
Tachyoryctes storeyi,Mammalia
Calomyscus elburzensis,Mammalia
Tachyoryctes ibeanus,Mammalia
Spalax uralensis,Mammalia
Spalax nehringi,Mammalia
Spalax golani,Mammalia
Spalax judaei,Mammalia
Spalax leucodon,Mammalia
Spalax galili,Mammalia
Spalax ehrenbergi,Mammalia
Spalax carmeli,Mammalia
Eospalax smithii,Mammalia
Eospalax rothschildi,Mammalia
Eospalax fontanierii,Mammalia
Salpingotulus michaelis,Mammalia
Allactaga williamsi,Mammalia
Dryomys niethammeri,Mammalia
Eliomys munbyanus,Mammalia
Graphiurus nagtglasii,Mammalia
Chaetocauda sichuanensis,Mammalia
Graphiurus johnstoni,Mammalia
Graphiurus angolensis,Mammalia
Hsunycteris thomasi,Mammalia
Glis glis,Mammalia
Vampyriscus brocki,Mammalia
Vampyriscus nymphaea,Mammalia
Vampyriscus bidens,Mammalia
Myotis midastactus,Mammalia
Rhinolophus belligerator,Mammalia
Rhinolophus mcintyrei,Mammalia
Anoura cadenai,Mammalia
Thyroptera wynneae,Mammalia
Rhinolophus proconsulis,Mammalia
Scotophilus trujilloi,Mammalia
Scotophilus ejetai,Mammalia
Scotophilus livingstonii,Mammalia
Scotophilus tandrefana,Mammalia
Scotophilus andrewreborii,Mammalia
Rhinolophus damarensis,Mammalia
Casinycteris campomaanensis,Mammalia
Myotis escalerai,Mammalia
Miniopterus griffithsi,Mammalia
Miniopterus mahafaliensis,Mammalia
Miniopterus brachytragos,Mammalia
Triaenops parvus,Mammalia
Paratriaenops furculus,Mammalia
Paratriaenops pauliani,Mammalia
Paratriaenops auritus,Mammalia
Neoromicia roseveari,Mammalia
Rhinolophus mossambicus,Mammalia
Rhinolophus cohenae,Mammalia
Rhinolophus smithersi,Mammalia
Megaloglossus azagnyi,Mammalia
Sturnira burtonlimi,Mammalia
Rhinolophus bocharicus,Mammalia
Rhinopoma hadramauticum,Mammalia
Neoromicia somalica,Mammalia
Neoromicia nana,Mammalia
Tylonycteris pygmaeus,Mammalia
Neoromicia brunnea,Mammalia
Myotis phanluongi,Mammalia
Lonchophylla orcesi,Mammalia
Lonchophylla chocoana,Mammalia
Pteropus coxi,Mammalia
Pteropus allenorum,Mammalia
Myotis diminutus,Mammalia
Triaenops menamena,Mammalia
Sturnira koopmanhilli,Mammalia
Natalus macrourus,Mammalia
Dryadonycteris capixaba,Mammalia
Niumbaha superba,Mammalia
Sturnira sorianoi,Mammalia
Rhinolophus xinanzhongguoensis,Mammalia
Micronycteris giovanniae,Mammalia
Perimyotis subflavus,Mammalia
Dyacopterus rickarti,Mammalia
Parastrellus hesperus,Mammalia
Epomophorus anselli,Mammalia
Plecotus ognevi,Mammalia
Plecotus macrobullaris,Mammalia
Dermanura tolteca,Mammalia
Dermanura azteca,Mammalia
Dermanura rosenbergi,Mammalia
Dermanura glauca,Mammalia
Dermanura watsoni,Mammalia
Dermanura gnoma,Mammalia
Dermanura anderseni,Mammalia
Dermanura bogotensis,Mammalia
Murina balaensis,Mammalia
Lonchophylla peracchii,Mammalia
Neoromicia robertsi,Mammalia
Lophostoma occidentalis,Mammalia
Miniopterus egeri,Mammalia
Miniopterus petersoni,Mammalia
Sturnira perla,Mammalia
Eptesicus taddeii,Mammalia
Chaerephon atsinanana,Mammalia
Myotis flavus,Mammalia
Hipposideros griffini,Mammalia
Lophostoma kalkoae,Mammalia
Coleura kibomalandy,Mammalia
Mormopterus eleryi,Mammalia
Paremballonura atrata,Mammalia
Paremballonura tiavato,Mammalia
Micronycteris yatesi,Mammalia
Natalus lanatus,Mammalia
Anoura fistulata,Mammalia
Xeronycteris vieirai,Mammalia
Thyroptera devivoi,Mammalia
Asellia italosomalica,Mammalia
Asellia arabica,Mammalia
Myotis dieteri,Mammalia
Rhogeessa menchuae,Mammalia
Rhogeessa bickhami,Mammalia
Artibeus schwartzi,Mammalia
Anoura peruana,Mammalia
Carollia benkeithi,Mammalia
Carollia monohernandezi,Mammalia
Carollia manu,Mammalia
Barbastella beijingensis,Mammalia
Chaerephon jobimena,Mammalia
Otonycteris leucophaea,Mammalia
Miniopterus aelleni,Mammalia
Lophostoma yasuni,Mammalia
Murina eleryi,Mammalia
Murina harrisoni,Mammalia
Murina gracilis,Mammalia
Murina bicolor,Mammalia
Eumops nanus,Mammalia
Desmalopex microleucopterus,Mammalia
Kerivoula titania,Mammalia
Styloctenium mindorensis,Mammalia
Murina beelzebub,Mammalia
Eumops wilsoni,Mammalia
Murina walstoni,Mammalia
Rhinolophus microglobosus,Mammalia
Desmalopex leucopterus,Mammalia
Kerivoula kachinensis,Mammalia
Harpiola grisea,Mammalia
Harpiola isodon,Mammalia
Miniopterus griveaudi,Mammalia
Hipposideros khaokhouayensis,Mammalia
Scotophilus marovaza,Mammalia
Hipposideros boeadii,Mammalia
Nyctophilus shirleyae,Mammalia
Nyctophilus corbeni,Mammalia
Pteralopex flanneryi,Mammalia
Mirimiri acrodonta,Mammalia
Myzopoda schliemanni,Mammalia
Nyctophilus major,Mammalia
Pipistrellus raceyi,Mammalia
Dermanura phaeotis,Mammalia
Dermanura cinerea,Mammalia
Sturnira hondurensis,Mammalia
Triaenops afer,Mammalia
Natalus mexicanus,Mammalia
Rhinolophus tatar,Mammalia
Lonchophylla concava,Mammalia
Myotis petax,Mammalia
Myotis taiwanensis,Mammalia
Plecotus christiei,Mammalia
Nyctophilus daedalus,Mammalia
Nyctophilus sherrini,Mammalia
Plecotus sacrimontis,Mammalia
Neoromicia malagasyensis,Mammalia
Rhinopoma cystops,Mammalia
Eumops floridanus,Mammalia
Phoniscus papuensis,Mammalia
Phoniscus jagorii,Mammalia
Phoniscus atrox,Mammalia
Phoniscus aerosa,Mammalia
Murina ryukyuana,Mammalia
Kerivoula lenis,Mammalia
Harpiocephalus mordax,Mammalia
Murina hilgendorfi,Mammalia
Miniopterus shortridgei,Mammalia
Miniopterus schreibersii,Mammalia
Miniopterus paululus,Mammalia
Miniopterus medius,Mammalia
Miniopterus natalensis,Mammalia
Miniopterus majori,Mammalia
Miniopterus macrocneme,Mammalia
Miniopterus manavi,Mammalia
Miniopterus gleni,Mammalia
Myotis yanbarensis,Mammalia
Miniopterus africanus,Mammalia
Myotis oxygnathus,Mammalia
Myotis punicus,Mammalia
Myotis occultus,Mammalia
Myotis nipalensis,Mammalia
Myotis melanorhinus,Mammalia
Myotis moluccarum,Mammalia
Myotis laniger,Mammalia
Myotis macropus,Mammalia
Myotis hermani,Mammalia
Myotis hajastanicus,Mammalia
Myotis gomantongensis,Mammalia
Myotis fimbriatus,Mammalia
Myotis davidii,Mammalia
Myotis daubentonii,Mammalia
Myotis csorbai,Mammalia
Myotis bucharensis,Mammalia
Myotis brandtii,Mammalia
Myotis bocagii,Mammalia
Myotis ater,Mammalia
Myotis annamiticus,Mammalia
Myotis bechsteinii,Mammalia
Myotis anjouanensis,Mammalia
Cistugo seabrae,Mammalia
Cistugo lesueuri,Mammalia
Bauerus dubiaquercus,Mammalia
Vespertilio sinensis,Mammalia
Myotis alcathoe,Mammalia
Vespadelus vulturnus,Mammalia
Vespadelus regulus,Mammalia
Vespadelus troughtoni,Mammalia
Vespadelus pumilus,Mammalia
Vespadelus finlaysoni,Mammalia
Vespadelus darlingtoni,Mammalia
Vespadelus caurinus,Mammalia
Vespadelus douglasorum,Mammalia
Vespadelus baverstocki,Mammalia
Neoromicia zuluensis,Mammalia
Neoromicia tenuipinnis,Mammalia
Neoromicia rendalli,Mammalia
Neoromicia helios,Mammalia
Neoromicia guineensis,Mammalia
Neoromicia flavescens,Mammalia
Hypsugo vordermanni,Mammalia
Hypsugo savii,Mammalia
Neoromicia capensis,Mammalia
Hypsugo pulveratus,Mammalia
Hypsugo musciculus,Mammalia
Hypsugo macrotis,Mammalia
Hypsugo crassulus,Mammalia
Hypsugo imbricatus,Mammalia
Hypsugo bodenheimeri,Mammalia
Hypsugo eisentrauti,Mammalia
Hypsugo joffrei,Mammalia
Hypsugo lophurus,Mammalia
Hypsugo ariel,Mammalia
Hypsugo anthonyi,Mammalia
Hypsugo arabicus,Mammalia
Hypsugo cadornae,Mammalia
Hypsugo anchietae,Mammalia
Histiotus laephotis,Mammalia
Histiotus humboldti,Mammalia
Histiotus magellanicus,Mammalia
Glauconycteris variegata,Mammalia
Glauconycteris poensis,Mammalia
Glauconycteris machadoi,Mammalia
Glauconycteris kenyacola,Mammalia
Glauconycteris gleni,Mammalia
Glauconycteris humeralis,Mammalia
Glauconycteris egeria,Mammalia
Glauconycteris curryae,Mammalia
Glauconycteris beatrix,Mammalia
Glauconycteris argentata,Mammalia
Falsistrellus tasmaniensis,Mammalia
Glauconycteris alboguttata,Mammalia
Falsistrellus petersi,Mammalia
Falsistrellus mordax,Mammalia
Chalinolobus neocaledonicus,Mammalia
Falsistrellus mackenziei,Mammalia
Falsistrellus affinis,Mammalia
Plecotus sardus,Mammalia
Plecotus kolombatovici,Mammalia
Plecotus alpinus,Mammalia
Plecotus balensis,Mammalia
Pipistrellus wattsi,Mammalia
Scotozous dormeri,Mammalia
Pipistrellus westralis,Mammalia
Pipistrellus rueppellii,Mammalia
Pipistrellus deserti,Mammalia
Pipistrellus papuanus,Mammalia
Pipistrellus hesperidus,Mammalia
Pipistrellus pygmaeus,Mammalia
Pipistrellus adamsi,Mammalia
Pipistrellus collinus,Mammalia
Hypsugo kitcheneri,Mammalia
Pipistrellus angulatus,Mammalia
Pipistrellus abramus,Mammalia
Nyctalus plancyi,Mammalia
Nyctophilus nebulosus,Mammalia
Nyctophilus bifax,Mammalia
Nyctophilus howensis,Mammalia
Nyctalus furvus,Mammalia
Scotorepens sanborni,Mammalia
Scotorepens greyii,Mammalia
Scotorepens orion,Mammalia
Scotophilus nucella,Mammalia
Scotorepens balstoni,Mammalia
Scotophilus collinus,Mammalia
Scotoecus hindei,Mammalia
Scotophilus heathii,Mammalia
Scotoecus albigula,Mammalia
Scoteanax rueppellii,Mammalia
Rhogeessa hussoni,Mammalia
Rhogeessa aeneus,Mammalia
Rhogeessa io,Mammalia
Nycticeius cubanus,Mammalia
Nycticeius aenobarbus,Mammalia
Lasiurus salinae,Mammalia
Lasiurus varius,Mammalia
Lasiurus insularis,Mammalia
Lasiurus ebenus,Mammalia
Lasiurus degelidus,Mammalia
Lasiurus pfeifferi,Mammalia
Lasiurus atratus,Mammalia
Eptesicus nilssonii,Mammalia
Eptesicus matroka,Mammalia
Eptesicus japonensis,Mammalia
Eptesicus gobiensis,Mammalia
Eptesicus dimissus,Mammalia
Eptesicus chiriquinus,Mammalia
Arielulus torquatus,Mammalia
Arielulus societatis,Mammalia
Eptesicus andinus,Mammalia
Arielulus cuprosus,Mammalia
Arielulus circumdatus,Mammalia
Arielulus aureocollaris,Mammalia
Tadarida latouchei,Mammalia
Tadarida kuboriensis,Mammalia
Tadarida insignis,Mammalia
Sauromys petrophilus,Mammalia
Platymops setiger,Mammalia
Otomops madagascariensis,Mammalia
Otomops johnstonei,Mammalia
Mops leucostigma,Mammalia
Mormopterus loriae,Mammalia
Molossus rufus,Mammalia
Molossus currentium,Mammalia
Molossus coibensis,Mammalia
Molossus barnesi,Mammalia
Molossus aztecus,Mammalia
Eumops trumbulli,Mammalia
Cynomops planirostris,Mammalia
Eumops patagonicus,Mammalia
Cynomops paranus,Mammalia
Cynomops mexicanus,Mammalia
Cynomops greenhalli,Mammalia
Cynomops abrasus,Mammalia
Cheiromeles parvidens,Mammalia
Chaerephon tomensis,Mammalia
Chaerephon solomonis,Mammalia
Chaerephon shortridgei,Mammalia
Chaerephon russatus,Mammalia
Chaerephon pumilus,Mammalia
Chaerephon plicatus,Mammalia
Chaerephon leucogaster,Mammalia
Chaerephon bregullae,Mammalia
Chaerephon bivittatus,Mammalia
Nyctiellus lepidus,Mammalia
Natalus primus,Mammalia
Natalus jamaicensis,Mammalia
Natalus major,Mammalia
Chilonatalus tumidifrons,Mammalia
Chilonatalus micropus,Mammalia
Thyroptera lavali,Mammalia
Pteronotus pristinus,Mammalia
Mormoops magna,Mammalia
Vampyressa thyone,Mammalia
Enchisthenes hartii,Mammalia
Sturnira oporaphilum,Mammalia
Sturnira mistratensis,Mammalia
Carollia sowelli,Mammalia
Trinycteris nicefori,Mammalia
Tonatia saurophila,Mammalia
Neonycteris pusilla,Mammalia
Mimon koepckeae,Mammalia
Micronycteris sanborni,Mammalia
Mimon cozumelae,Mammalia
Micronycteris microtis,Mammalia
Micronycteris matses,Mammalia
Micronycteris brosseti,Mammalia
Lophostoma schulzi,Mammalia
Lophostoma silvicolum,Mammalia
Lophostoma carrikeri,Mammalia
